//Index		Message
0 "הבלאד קאסל ייסגר בעוד %d דקות"
1 "הבלאד קאסל נסגר"
2 "הבלאד קאסל %d יתחיל בעוד %d דקות"
3 "הבלאד קאסל התחיל"
4 "כל המפלצות הובסו"
5 "כל ראשי המפלצות הובסו"
6 "הבלאד קאסל הסתיים"
7 "אתה לא מספיק חזק כדי להיכנס לבלאד קאסל"
8 "השחקן %s הפיל את נשק המלאך"
9 "השחקן %s נטל את נשק המלאך"
10 "השחקן %s הרס את דלת הקאסל"
11 "השחקן %s הרס את הפסל"
16 "הקאוס קאסל ייסגר בעוד %d דקות"
17 "הקאוס קאסל נסגר"
18 "הקאוס קאסל %d יתחיל בעוד %d דקות"
19 "הקאוס קאסל התחיל"
20 "הקאוס קאסל הסתיים"
32 "חשבון חופשי"
33 "חשבון VIP1"
34 "חשבון VIP2"
35 "חשבון VIP3"
36 " "
37 " "
38 " "
39 " "
40 " "
41 " "
42 " "
43 " "
44 " "
45 " "
46 " "
47 " "
48 " "
49 " "
50 " "
51 " "
52 " "
53 " "
54 " "
55 " "
56 " "
57 " "
58 " "
64 "אין לך הרשאה להשתמש בזה"
65 "אתה צריך להיות מדרגת %d כדי להשתמש בזה"
66 "אתה צריך להקפיץ %d פעמים כדי להשתמש בזה"
67 "אתה צריך להיות לפחות %d זן כדי להשתמש בזה"
68 "אתה צריך לחכות %d שניות כדי להשתמש בזה"
69 "[POST]: %s"
70 "אין לך הרשאה להשתמש ב /add"
71 "פקודה בלעדית של דארק לורד"
72 "אין לך מספיק נקודות כדי להוסיף"
73 "אתה צריך להיות לפחות %d זן כדי להשתמש ב /add"
74 "הוספת %d נקודות, נותרו %d נקודות להפצלה"
75 "אין לך הרשאה להשתמש ב /pkclear"
76 "אתה לא PK"
77 "אתה צריך להיות לפחות %d זן כדי להשתמש ב /pkclear"
78 "נקיית הPK שלך הצליחה"
79 "אין לך הרשאה להשתמש ב /money"
80 "הזנת ערך לא תקין להוספתו"
81 "אין לך הרשאה להשתמש ב /change"
82 "אתה צריך להיות לפחות %d זן כדי להשתמש ב /change"
83 "אתה לא יכול להתקדם יותר"
84 "התקדמת בהצלחה"
85 "אין לך הרשאה להשתמש ב /ware"
86 "אתה לא יכול להשתמש ב /ware בכרגע"
87 "הזנת תיק לא חוקי להחלפה"
88 "החלפת התיק %d בוצעה בהצלחה"
89 "אין לך הרשאה להשתמש ב /reset"
90 "אתה לא יכול להשתמש ב /reset בכרגע"
91 "אתה צריך להיות מדרגת %d כדי להשתמש ב /reset"
92 "אתה צריך להיות לפחות %d זן כדי להשתמש ב /reset"
93 "אתה לא יכול להקפיץ יותר מ %d פעמים"
94 "אתה לא יכול לעשות ריסט עם פריטים מצויידים"
95 "ביצעת ריסט בהצלחה, עכשיו יש לך %d ריסטים"
96 "אין לך הרשאה להשתמש ב /gmmove"
97 "הזנת מיקום לא חוקי עבור /gmmove"
98 "אין לך הרשאה להשתמש ב /gmpost"
99 "אין לך הרשאה להשתמש ב /track"
100 "הזנת מטרה לא חוקית עבור /track"
101 "אין לך הרשאה להשתמש ב /trace"
102 "הזנת מטרה לא חוקית עבור /trace"
103 "אין לך הרשאה להשתמש ב /disconnect"
104 "הזנת מטרה לא חוקית עבור /disconnect"
105 "אין לך הרשאה להשתמש ב /fireworks"
106 "אין לך הרשאה להשתמש ב /make"
107 "יצרת את הפריט בהצלחה"
108 "אין לך הרשאה להשתמש ב /skin"
109 "הזנת מטרה לא חוקית עבור /skin"
110 "אין לך הרשאה להשתמש ב /setmoney"
111 "הזנת מטרה לא חוקית עבור /setmoney"
112 "הזנת ערך לא תקין ל /setmoney"
113 "אין לך הרשאה להשתמש ב /notice"
114 "הוספת נקודות אוטומטית: מופעל (%d)"
115 "הוספת נקודות אוטומטית: כבוי"
116 "ריסט אוטומטי: מופעל"
117 "ריסט אוטומטי: כבוי"
118 "אין לך הרשאה להשתמש ב /mreset"
119 "אתה לא יכול להשתמש ב /mreset בכרגע"
120 "אתה צריך להיות לפחות %d רמה כדי להשתמש ב /mreset"
121 "אתה צריך להיות לפחות %d פעמים קאוס כדי להשתמש ב /mreset"
122 "אתה צריך להיות לפחות %d זן כדי להשתמש ב /mreset"
123 "אתה לא יכול לעשות יותר מ %d מאסטר ריסטים"
124 "אתה לא יכול לאפס את המאסטר כשיש פריטים מצויידים"
125 "אתה מאסטר הוחזר בהצלחה, עכשיו יש לך %d מאסטר ריסטים"
126 "קבלת בקשות: מופעל"
127 "קבלת בקשות: כבוי"
128 "קבלת בקשות: אוטומטי"
129 "ניתן לעשות ריסט רק %d פעמים ביום"
130 "ניתן לעשות ריסט רק %d פעמים בשבוע"
131 "ניתן לעשות ריסט רק %d פעמים בחודש"
132 "ניתן לעשות מאסטר ריסט רק %d פעמים ביום"
133 "ניתן לעשות מאסטר ריסט רק %d פעמים בשבוע"
134 "ניתן לעשות מאסטר ריסט רק %d פעמים בחודש"
135 "אין לך הרשאה להשתמש ב /hide"
144 "הדווקא היתה תיאטרון רעילה ייסגר בעוד %d דקות"
145 "הדווקא היתה תיאטרון רעילה נסגר"
146 "הדווקא היתה תיאטרון רעילה %d יתחיל בעוד %d דקות"
147 "הדווקא היתה תיאטרון רעילה התחיל"
148 "הדווקא היתה תיאטרון רעילה הסתיים"
149 "אתה לא מספיק חזק כדי להיכנס לתיאטרון רעילה"
160 "השחקן היעד אינו מחובר"
161 "אתה לא יכול לעשות דווקא כרגע"
162 "השחקן היעד דחה את בקשת הדווקא באופן אוטומטי"
163 "כבר ביקשת או נדרשת לעשות דווקא"
164 "השחקן היעד כבר ביקש או נדרש לעשות דווקא"
165 "אתה לא יכול לעשות דווקא במלחמת הגילד"
166 "השחקן היעד לא יכול לעשות דווקא במלחמת הגילד"
167 "אתה לא יכול לעשות דווקא במפה זו"
168 "אתה לא יכול לעשות דווקא בזמן הסיז' הקאסל"
169 "שם השחקן היעד אינו חוקי"
170 "אתה לא יכול לעשות דווקא עם הגנת עצמי"
171 "השחקן היעד לא יכול לעשות דווקא עם הגנת עצמי"
172 "השחקן היעד דחה את בקשת הדווקא"
173 "כל האולמות תפוסים כרגע, נסה שוב מאוחר יותר"
174 "הדווקא בין %s ל %s התחיל!"
175 "השחקן %s ניצח את %s בדווקא!"
176 "תיאטרון הוותי ייסגר בעוד %d דקות"
177 "תיאטרון הוותי נסגר"
178 "תיאטרון הוותי %d יתחיל בעוד %d דקות"
179 "תיאטרון הוותי התחיל"
180 "תיאטרון הוותי הסתיים"
181 "אתה לא מספיק חזק כדי להיכנס להיות תיאטרון הוותי"
182 "אין לך את הפריט הנדרש כדי להיכנס לתיאטרון הוותי"
183 "השחקן %s השליך את הפריט המסתורי"
184 "השחקן %s קיבל את הפריט המסתורי"
192 "הפלישה של מלך השלג החלה!"
193 "הפלישה של הדרקון האדום החלה!"
194 "הפלישה של דורדוס החלה!"
195 "הפלישה של הקוסם הלבן החלה!"
196 "הפלישה של ראש השנה החלה!"
197 "הפלישה של הארנבים החלה!"
198 "הפלישה של קיץ החלה!"
199 "הפלישה של חג המולד החלה!"
200 "הפלישה של מדוזה החלה!"
202 "השחקן %s הפיל את מלך השדים!"
203 "השחקן %s הפיל את הדרקון האדום!"
204 "השחקן %s הפיל את הדרקון הזהבי הגדול!"
205 "השחקן %s הפיל את הקוסם הלבן!"
206 "השחקן %s הפיל את סנטה המאורר!"
207 "השחקן %s הפיל את מדוזה!"
208 "התעורר מוכר האוכל חציל!"
209 "מוכר האוכל חציל עזב!"
210 "פלישת חושבים מתחילה!"
211 "פלישת הביצים מתחילה!"
224 "עליך להיות מרמה %d לתנועה"
225 "עליך להיות לפחות %d זן לתנועה"
226 "אתה לא יכול להזוז כרגע"
227 "לרוגים אין אפשרות להזוז"
228 "אין לך ציוד נכון להזזה"
229 "רק חברי משפחות של גנים יכולים להזוז"
230 "עליך להיות ברמת המקסימום %d לתנועה"
231 "עליך להיות לפחות %d ריסטים לתנועה"
232 "עליך להיות לפחות %d ריסטים לתנועה"
240 "הסיניור אינו פעיל כרגע"
241 "הסיניור לא פועל במהלך המצודה על הטירה"
242 "עליך להיות בעלים של גילד להשתמש בסיניור"
243 "עליך להיות בעלים של גילד להשתמש בסיניור"
244 "מאבטח הטירה לא פועל במהלך המצודה על הטירה"
245 "כבר נמצאים בגילד"
246 "אין לך רמה מספיקה ליצירת גילד"
247 "החנות ריקה"
248 "/חשבון/ רגיל"
249 "/חשבון/ ברונזה (%s)"
250 "/חשבון/ כסף (%s)"
251 "/חשבון/ זהב (%s)"
256 "%s - נעים לראותך שוב!"
257 "עליך להיות לפחות ברמה 40 כדי להשתמש בטבעת"
258 "עליך להיות לפחות ברמה 80 כדי להשתמש בטבעת"
259 "אתה לא יכול להזוז למפה הזו כרגע"
260 "אתה לא יכול לאסוף פריט זה כרגע"
261 "אתה לא יכול לעזוב את המשחק עם סחורה פתוחה"
262 "אתה לא יכול לעזוב את המשחק עם תיבה פתוחה"
263 "אתה לא יכול לעזוב את המשחק עם מכונת כאוס פתוחה"
264 "אתה לא יכול לעזוב את המשחק עם מאמן פתוח"
265 "אתה לא יכול לצאת מהמשחק בצדק עצמי"
266 "אתה ברמת המקסימום"
267 "אתה ברמת המקסימום להשטח"
268 "אתה יכול להוסיף רק %d נקודות"
269 "אתה לא יכול לדבר במשך %d שניות"
270 "אתה לא יכול לשלוח הודעה לעצמך"
271 "שלום, אני מאבטח מבוגר"
272 "לא היה ניתן לבצע העברה"
273 "אתה תועבר בעוד %d שניות"
274 "אתה לא יכול להזוז למפה הזו עם סוס"
275 "אתה לא יכול להזוז למפה הזו ללא כנף"
276 "מתנה בחנות המטבעות"
304 "מלך הקרח הופיע!"
305 "אתה לא חזק מספיק כדי להיכנס ל-Double Goer"
306 "מלך הקרח נהרג!"
320 "סלופן הופיע! שער ההבטחה יסגר בעוד %d דקות"
321 "שער ההבטחה נסגר"
322 "השחקן %s ניצח את סלופן!"
323 "שער הבטחה יפתח שוב בעוד %d דקות"
324 "שער הבטחה נפתח!"
325 "שער הבטחה סגור"
336 "מגדל השיפורים יסגר בעוד 60 דקות"
337 "מגדל השיפורים יסגר בעוד 20 דקות"
338 "דלת קנטורו תיפתח בעוד דקה אחת"
339 "קרב נגד מאיה יתחיל בקרוב, התכונן"
340 "הקרב הבא יתחיל בעוד דקה אחת"
341 "האיום הופיע! נצח אותו כדי לשחרר את מגדל השיפורים"
342 "האיום ניצח! השוחרר מגדל השיפורים"
343 "הזמן נגמר, תוסר מהאירוע"
352 "מבצר העמוק יתחיל בעוד 5 דקות"
353 "מבצר העמוק החל"
354 "מבצר העמוק הסתיים"
355 "השחקן אירוהים נהרג על ידי %s"
356 "%s נהרג על ידי השחקן %s"
368 "בלגאס מצטרף לכוחותיו של קונדון ומתכונן להתקוף את מבצר הזעזוע"
369 "הציוד של בלגאס מוכן להתקוף את מבצר הזעזוע"
370 "הציוד של בלגאס בדרך להתקוף את מבצר הזעזוע"
371 "הציוד של בלגאס מתקרב למבצר הזעזוע"
372 "אף אלפא לא התחברו לאבני המזבח, עוזבים את מצבת הזאב בלתי מוגנת"
373 "בלגאס יהיה חי עד סוף הקרב"
374 "ההגנה נכשלה! מצבת הזאב הקדושה נתפסה על ידי בלגאס"
375 "ההגנה הצליחה! מצבת הזאב הקדושה הוגנה"
376 "תקופת החיבור עם מזבח הזאב מתחילה בעוד %d שניות"
377 "תקופת החיבור עם מזבח הזאב מתחילה בעוד %d דקות"
378 "הציוד של בלגאס יתקוף בעוד %d שניות"
379 "הציוד של בלגאס יתקוף בעוד %d דקות"
380 "בלי הגנה של מצבת אלפים הקדושים היא בלתי מוגנת"
381 "בלגאס בא! להגן על מצבת הזאב הקדושה"
382 "הציוד של בלגאס החל לתקוף את מצבת הזאב הקדושה"
383 "הציוד של בלגאס נגבר עם עזרת הגיבורים"
384 "דירוג MvP: %d"
385 "ניסיון MvP: %d"
386 "בלגאס נהרג על ידי %s!"
387 "בלגאס מת!"
388 "אלף האפלה %d נהרג על ידי %s!"
